author;publication_count;latest_year;main_affiliation;topics;profile_text
Siming Zhao;1;2021;Huazhong Agricultural University;starch-based materials;Siming Zhao is a researcher affiliated with Huazhong Agricultural University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Binjia Zhang;1;2021;Huazhong Agricultural University;starch-based materials;Binjia Zhang is a researcher affiliated with Huazhong Agricultural University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Martina Nevoralová;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Martina Nevoralová is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Marek Koutný;1;2019;Tomas Bata University in Zlín;starch-based materials;Marek Koutný is a researcher affiliated with Tomas Bata University in Zlín. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Aleksandra Ujčić;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Aleksandra Ujčić is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Pavel Horák;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Pavel Horák is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Jana Kredatusová;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Jana Kredatusová is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Jana Šerá;1;2019;Tomas Bata University in Zlín;starch-based materials;Jana Šerá is a researcher affiliated with Tomas Bata University in Zlín. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
L. Růžek;1;2019;Czech University of Life Sciences Prague;starch-based materials;L. Růžek is a researcher affiliated with Czech University of Life Sciences Prague. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
M. Růžková;1;2019;National Institute of Public Health;starch-based materials;M. Růžková is a researcher affiliated with National Institute of Public Health. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Sabina Krejčíková;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Sabina Krejčíková is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Miroslav Šlouf;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Miroslav Šlouf is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Zdenêk Kruliš;1;2019;Czech Academy of Sciences, Institute of Macromolecular Chemistry;starch-based materials;Zdenêk Kruliš is a researcher affiliated with Czech Academy of Sciences, Institute of Macromolecular Chemistry. They have 1 publication(s) in this database, with the most recent work from 2019. Their research topics include: starch-based materials.
Peng Liu;1;2020;Guangzhou University;starch-based materials;Peng Liu is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Cong Ma;1;2020;Guangzhou University;starch-based materials;Cong Ma is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Ying Li;1;2020;Guangzhou University;starch-based materials;Ying Li is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Liming Wang;1;2020;Guangzhou University;starch-based materials;Liming Wang is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Linjie Wei;1;2020;Guangzhou University;starch-based materials;Linjie Wei is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Yinlei Yan;1;2020;Guangzhou University;starch-based materials;Yinlei Yan is a researcher affiliated with Guangzhou University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Huanqi Wu;1;2023;Ningbo University;starch-based materials;Huanqi Wu is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Shangyuan Sang;1;2023;Ningbo University;starch-based materials;Shangyuan Sang is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Peifang Weng;1;2023;Ningbo University;starch-based materials;Peifang Weng is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Daodong Pan;1;2023;Ningbo University;starch-based materials;Daodong Pan is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Zufang Wu;1;2023;Ningbo University;starch-based materials;Zufang Wu is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Junsi Yang;1;2023;University of Nebraska–Lincoln;starch-based materials;Junsi Yang is a researcher affiliated with University of Nebraska–Lincoln. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Lingyi Liu;1;2023;Ningbo University;starch-based materials;Lingyi Liu is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Mohamed A. Farag;1;2023;Cairo University;starch-based materials;Mohamed A. Farag is a researcher affiliated with Cairo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Jianbo Xiao;1;2023;Institute of Food Science & Technology;starch-based materials;Jianbo Xiao is a researcher affiliated with Institute of Food Science & Technology. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Lianliang Liu;1;2023;Ningbo University;starch-based materials;Lianliang Liu is a researcher affiliated with Ningbo University. They have 1 publication(s) in this database, with the most recent work from 2023. Their research topics include: starch-based materials.
Siji K. Mary;1;2022;Government Medical College;starch-based materials;Siji K. Mary is a researcher affiliated with Government Medical College. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Rekha Rose Koshy;1;2022;Government Medical College;starch-based materials;Rekha Rose Koshy is a researcher affiliated with Government Medical College. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
R. Arunima;1;2022;Mahatma Gandhi University;starch-based materials;R. Arunima is a researcher affiliated with Mahatma Gandhi University. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Sabu Thomas;1;2022;Mahatma Gandhi University;starch-based materials;Sabu Thomas is a researcher affiliated with Mahatma Gandhi University. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Laly A. Pothen;1;2022;Mahatma Gandhi University;starch-based materials;Laly A. Pothen is a researcher affiliated with Mahatma Gandhi University. They have 1 publication(s) in this database, with the most recent work from 2022. Their research topics include: starch-based materials.
Sylwia Ptak;1;2020;Jan Długosz University;starch-based materials;Sylwia Ptak is a researcher affiliated with Jan Długosz University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Arkadiusz Żarski;1;2020;Jan Długosz University;starch-based materials;Arkadiusz Żarski is a researcher affiliated with Jan Długosz University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Janusz Kapuśniak;1;2020;Jan Długosz University;starch-based materials;Janusz Kapuśniak is a researcher affiliated with Jan Długosz University. They have 1 publication(s) in this database, with the most recent work from 2020. Their research topics include: starch-based materials.
Mahafooj Alee;1;2021;South China University of Technology;starch-based materials;Mahafooj Alee is a researcher affiliated with South China University of Technology. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Ying Chen;1;2021;South China University of Technology;starch-based materials;Ying Chen is a researcher affiliated with South China University of Technology. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Amjad Ali;1;2021;Karakoram International University;starch-based materials;Amjad Ali is a researcher affiliated with Karakoram International University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Abdul Rahaman;1;2021;;starch-based materials;Abdul Rahaman is a researcher affiliated with unknown affiliation. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Ling Chen;1;2021;South China University of Technology;starch-based materials;Ling Chen is a researcher affiliated with South China University of Technology. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Fazal Haq;1;2021;Gomal University;starch-based materials;Fazal Haq is a researcher affiliated with Gomal University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Sahid Mehmood;1;2021;Zhejiang University;starch-based materials;Sahid Mehmood is a researcher affiliated with Zhejiang University. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
Muhammad Haroon;1;2021;University of Balochistan;starch-based materials;Muhammad Haroon is a researcher affiliated with University of Balochistan. They have 1 publication(s) in this database, with the most recent work from 2021. Their research topics include: starch-based materials.
